iter	Passed	Remaining
478	632	687
479	633	686
480	634	684
481	635	682
482	636	681
483	637	679
484	638	677
485	639	676
486	640	674
487	641	673
488	642	671
489	643	669
490	644	668
491	645	666
492	646	664
493	647	662
494	648	661
495	649	659
496	650	657
497	651	656
498	651	654
499	652	652
500	653	651
501	654	649
502	655	647
503	656	646
504	657	644
505	658	643
506	659	641
507	660	639
508	661	638
509	662	636
510	663	634
511	664	633
512	665	631
513	666	630
514	667	628
515	668	626
516	669	625
517	670	623
518	671	621
519	671	620
520	672	618
521	673	617
522	674	615
523	675	613
524	676	612
525	677	610
526	678	609
527	679	607
528	680	605
529	681	604
530	682	602
531	683	601
532	684	599
533	685	597
534	686	596
535	687	594
536	688	593
537	688	591
538	689	590
539	690	588
540	691	586
541	692	585
542	693	583
543	694	582
544	695	580
545	696	579
546	697	577
547	698	576
548	699	574
549	700	572
550	701	571
551	702	569
552	703	568
553	704	566
554	705	565
555	706	563
556	706	562
557	707	560
558	708	559
559	709	557
560	710	556
561	711	554
562	712	553
563	713	551
564	714	550
565	715	548
566	716	547
567	717	545
568	718	544
569	719	542
570	720	541
571	721	539
572	722	538
573	723	536
574	724	535
575	725	533
576	726	532
577	727	530
578	728	529
579	729	527
580	730	526
581	730	525
582	731	523
583	732	522
584	733	520
585	734	519
586	735	517
587	736	516
588	737	514
589	738	513
590	739	511
591	740	510
592	741	508
593	742	507
594	743	506
595	744	504
596	745	503
597	746	501
598	747	500
599	748	498
600	749	497
601	750	495
602	751	494
603	752	493
604	753	491
605	753	490
606	754	488
607	755	487
608	756	485
609	757	484
610	758	483
611	759	481
612	760	480
613	761	478
614	762	477
615	763	475
616	764	474
617	765	473
618	766	471
619	767	470
620	768	468
621	769	467
622	770	466
623	771	464
624	772	463
625	773	462
626	774	460
627	775	459
628	776	457
629	777	456
630	777	454
631	778	453
632	779	452
633	780	450
634	781	449
635	782	447
636	783	446
637	784	445
638	785	443
639	786	442
640	787	441
641	788	439
642	789	438
643	790	436
644	791	435
645	792	434
646	793	432
647	794	431
648	794	429
649	795	428
650	796	427
651	797	425
652	798	424
653	799	423
654	800	421
655	801	420
656	802	418
657	803	417
658	804	416
659	805	414
660	806	413
661	807	412
662	808	410
663	809	409
664	810	408
665	811	406
666	812	405
667	813	404
668	814	402
669	815	401
670	816	400
671	817	398
672	818	397
673	819	396
674	820	394
675	821	393
676	822	392
677	823	390
678	824	389
679	825	388
680	825	386
681	826	385
682	827	384
683	828	382
684	829	381
685	830	380
686	831	378
687	832	377
688	833	376
689	834	374
690	835	373
691	836	372
692	837	370
693	838	369
694	839	368
695	840	367
696	841	365
697	842	364
698	843	363
699	844	361
700	845	360
701	846	359
702	847	357
703	848	356
704	849	355
705	850	353
706	851	352
707	852	351
708	852	350
709	853	348
710	854	347
711	855	346
712	856	344
713	857	343
714	858	342
715	859	340
716	860	339
717	861	338
718	862	337
719	863	335
720	864	334
721	865	333
722	866	331
723	867	330
724	868	329
725	869	328
726	870	326
727	871	325
728	872	324
729	873	322
730	874	321
731	875	320
732	876	319
733	877	317
734	878	316
735	879	315
736	880	314
737	880	312
738	881	311
739	882	310
740	883	308
741	884	307
742	885	306
743	886	305
744	887	303
745	888	302
746	889	301
747	890	300
748	891	298
749	892	297
750	893	296
751	894	294
752	895	293
753	896	292
754	897	291
755	898	289
756	899	288
757	900	287
758	901	286
759	902	284
760	903	283
761	904	282
762	905	281
763	906	279
764	907	278
765	908	277
766	909	276
767	909	274
768	910	273
769	911	272
770	912	271
771	913	269
772	914	268
773	915	267
774	916	266
775	917	264
776	918	263
777	919	262
778	920	261
779	921	259
780	922	258
781	923	257
782	924	256
783	925	254
784	926	253
785	927	252
786	928	251
787	929	249
788	930	248
789	931	247
790	932	246
791	933	245
792	934	243
793	934	242
794	935	241
795	936	240
796	937	238
797	938	237
798	939	236
799	940	235
800	941	234
801	942	232
802	943	231
803	944	230
804	945	229
805	946	227
806	947	226
807	948	225
808	949	224
809	950	222
810	951	221
811	952	220
812	953	219
813	954	218
814	955	216
815	956	215
816	957	214
817	958	213
818	959	211
819	959	210
820	960	209
821	961	208
822	962	207
823	963	205
824	964	204
825	965	203
826	966	202
827	967	201
828	968	199
829	969	198
830	970	197
831	971	196
832	972	194
833	973	193
834	974	192
835	975	191
836	976	190
837	977	188
838	978	187
839	979	186
840	979	185
841	980	184
842	981	182
843	982	181
844	983	180
845	984	179
846	985	178
847	986	176
848	987	175
849	988	174
850	989	173
851	990	172
852	991	170
853	992	169
854	993	168
855	994	167
856	995	166
857	996	164
858	997	163
859	998	162
860	999	161
861	1001	160
862	1002	159
863	1003	157
864	1004	156
865	1005	155
866	1006	154
867	1007	153
868	1009	152
869	1010	150
870	1011	149
871	1012	148
872	1013	147
873	1014	146
874	1015	145
875	1016	143
876	1017	142
877	1018	141
878	1019	140
879	1020	139
880	1021	137
881	1022	136
882	1023	135
883	1025	134
884	1026	133
885	1027	132
886	1028	131
887	1029	129
888	1030	128
889	1031	127
890	1032	126
891	1033	125
892	1035	124
893	1036	122
894	1037	121
895	1038	120
896	1039	119
897	1040	118
898	1041	117
899	1042	115
900	1043	114
901	1044	113
902	1046	112
903	1047	111
904	1048	110
905	1049	108
906	1050	107
907	1051	106
908	1052	105
909	1053	104
910	1054	103
911	1056	101
912	1057	100
913	1058	99
914	1059	98
915	1060	97
916	1061	96
917	1062	94
918	1063	93
919	1063	92
920	1064	91
921	1065	90
922	1067	89
923	1068	87
924	1069	86
925	1070	85
926	1071	84
927	1072	83
928	1073	82
929	1074	80
930	1075	79
931	1076	78
932	1077	77
933	1077	76
934	1078	74
935	1079	73
936	1080	72
937	1081	71
938	1082	70
939	1083	69
940	1084	67
941	1085	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1090	61
947	1091	59
948	1091	58
949	1093	57
950	1093	56
951	1094	55
